Player,AVHL ID,22-23 G,22-23 A,22-23 P,23-24 G,23-24 A,23-24 P,24-25 G,24-25 A,24-25 P,25-26 G,25-26 A,25-26 P,Total G,Total A,Total PTS
John Carlson,0001,5,20,25,11,43,54,13,66,79,9,37,46,38,166,204
Leo Carlsson,0002,0,0,0,0,0,0,16,36,52,23,36,59,39,72,111
Cutter Gauthier,0003,0,0,0,0,0,0,11,16,27,8,26,34,19,42,61
Troy Terry,0004,20,28,48,26,35,61,16,29,45,31,34,65,93,126,219
Mikael Granlund,0005,15,17,32,24,39,63,16,22,38,27,28,55,82,106,188
Jackson LaCombe,0006,0,0,0,0,0,0,0,0,0,7,20,27,7,20,27
Jacob Trouba,0007,5,25,30,9,20,29,10,17,27,6,21,27,30,83,113
Mason McTavish,0008,2,3,5,20,32,52,26,39,65,21,47,68,69,121,190
Chris Kreider,0010,18,13,31,27,45,72,25,40,65,27,29,56,97,127,224
Radko Gudas,0011,0,0,0,2,6,8,2,15,17,8,30,38,12,51,63
Olen Zellweger,0012,0,0,0,0,0,0,5,12,17,1,9,10,6,21,27
Pavel Mintyukov,0014,0,0,0,0,0,0,6,21,27,5,12,17,11,33,44
Alex Killorn,0015,16,20,36,21,42,63,17,30,47,21,22,43,75,114,189
Frank Vatrano,0016,10,8,18,17,34,51,16,29,45,19,36,55,62,107,169
Ryan Poehling,0017,0,0,0,8,17,25,18,10,28,11,19,30,37,46,83
Ross Johnston,0018,0,0,0,10,6,16,0,0,0,0,0,0,10,6,16
Jansen Harkins,0019,2,4,6,7,14,21,8,10,18,0,0,0,17,28,45
David Pastrnak,0023,19,23,42,29,66,95,43,62,105,52,42,94,143,193,336
Charlie McAvoy,0024,5,22,27,14,44,58,14,53,67,14,43,57,47,162,209
Morgan Geekie,0025,12,21,33,10,12,22,15,23,38,19,18,37,56,74,130
Hampus Lindholm,0026,6,18,24,4,32,36,3,26,29,9,39,48,22,115,137
Pavel Zacha,0027,12,17,29,16,17,33,14,28,42,6,38,44,48,100,148
Nikita Zadorov,0028,2,7,9,0,29,29,8,22,30,6,25,31,16,83,99
Elias Lindholm,0029,16,25,41,25,37,62,17,42,59,16,41,57,74,145,219
Mason Lohrei,0030,0,0,0,0,0,0,8,11,19,4,20,24,12,31,43
Casey Mittelstadt,0031,3,3,6,19,30,49,22,60,82,24,40,64,68,133,201
Viktor Arvidsson,0032,13,23,36,20,35,55,17,28,45,16,36,52,66,122,188
Marat Khusnutdinov,0034,0,0,0,0,0,0,0,0,0,2,10,12,2,10,12
Michael Eyssimont,0035,0,0,0,0,0,0,9,16,25,13,22,35,22,38,60
Andrew Peeke,0036,1,3,4,7,12,19,6,9,15,1,18,19,15,42,57
Henri Jokiharju,0037,0,4,4,11,23,34,2,12,14,5,10,15,18,49,67
Jordan Harris,0038,0,0,0,0,0,0,5,7,12,2,10,12,7,17,24
Mark Kastelic,0039,0,0,0,5,20,25,18,21,39,12,9,21,35,50,85
Lukas Reichel,0040,0,0,0,12,26,38,13,13,26,6,23,29,31,62,93
Tanner Jeannot,0041,3,1,4,12,25,37,13,15,28,4,13,17,32,54,86
Sean Kuraly,0042,0,0,0,7,9,16,12,19,31,11,17,28,30,45,75
Rasmus Dahlin,0046,3,19,22,16,24,40,9,61,70,10,43,53,38,147,185
Tage Thompson,0047,0,0,0,29,43,72,31,53,84,31,45,76,91,141,232
Alex Tuch,0048,13,21,34,23,42,65,16,41,57,31,43,74,83,147,230
Bowen Byram,0049,2,13,15,8,27,35,5,20,25,12,18,30,27,78,105
Josh Norris,0050,20,28,48,21,22,43,13,37,50,19,31,50,73,118,191
Mattias Samuelsson,0051,0,7,7,7,8,15,6,14,20,5,7,12,18,36,54
Owen Power,0052,0,0,0,7,28,35,3,31,34,5,32,37,15,91,106
Ryan McLeod,0053,3,5,8,7,16,23,13,13,26,16,15,31,39,49,88
Josh Doan,0054,0,0,0,0,0,0,18,25,43,9,4,13,27,29,56
Logan Stanley,0055,0,0,0,7,7,14,7,9,16,3,7,10,17,23,40
Luke Schenn,0056,0,0,0,4,9,13,3,17,20,7,6,13,14,32,46
Michael Kesselring,0057,0,0,0,0,0,0,9,12,21,9,33,42,18,45,63
Jason Zucker,0058,13,8,21,18,28,46,19,24,43,29,28,57,79,88,167
Jack Quinn,0059,0,0,0,18,15,33,18,31,49,21,28,49,57,74,131
Zach Benson,0060,0,0,0,0,0,0,9,17,26,11,12,23,20,29,49
Sam Carrick,0061,0,0,0,13,5,18,0,0,0,8,24,32,21,29,50
Peyton Krebs,0062,2,2,4,7,21,28,4,11,15,11,16,27,24,50,74
Jiri Kulich,0063,0,0,0,0,0,0,0,0,0,15,12,27,15,12,27
Jordan Greenway,0064,15,15,30,17,37,54,10,7,17,10,11,21,52,70,122
Justin Danforth,0066,0,0,0,0,0,0,16,24,40,18,21,39,34,45,79
Beck Malenstyn,0067,0,0,0,0,0,0,5,12,17,13,23,36,18,35,53
Tanner Pearson,0068,8,16,24,16,33,49,15,22,37,11,24,35,50,95,145
Conor Timmins,0069,0,5,5,7,13,20,7,8,15,2,10,12,16,36,52
Jonathan Huberdeau,0072,29,23,52,16,63,79,16,31,47,28,46,74,89,163,252
Mikael Backlund,0073,15,7,22,17,33,50,12,23,35,15,24,39,59,87,146
Blake Coleman,0074,13,21,34,22,28,50,24,31,55,18,38,56,77,118,195
Kevin Bahl,0075,0,0,0,3,5,8,2,9,11,6,13,19,11,27,38
Matt Coronato,0076,0,0,0,0,0,0,14,15,29,15,22,37,29,37,66
Morgan Frost,0077,0,0,0,16,35,51,11,29,40,17,23,40,44,87,131
Joel Farabee,0078,24,15,39,18,41,59,22,28,50,2,20,22,66,104,170
Yegor Sharangovich,0079,15,20,35,22,35,57,22,26,48,20,24,44,79,105,184
Ryan Strome,0080,8,16,24,10,39,49,12,35,47,17,28,45,47,118,165
Zach Whitecloud,0081,4,12,16,2,15,17,5,18,23,2,23,25,13,68,81
Victor Olofsson,0082,21,18,39,33,34,67,18,35,53,6,37,43,78,124,202
Connor Zary,0083,0,0,0,13,8,21,11,19,30,11,27,38,35,54,89
Olli Maatta,0084,0,0,0,3,15,18,10,14,24,5,6,11,18,35,53
Jake Bean,0085,4,27,31,13,25,38,10,17,27,9,21,30,36,90,126
Martin Pospisil,0086,0,0,0,0,0,0,11,10,21,10,29,39,21,39,60
Joel Hanley,0087,0,0,0,1,11,12,0,0,0,0,0,0,1,11,12
Brayden Pachal,0089,0,0,0,0,0,0,0,0,0,2,12,14,2,12,14
Ryan Lomberg,0090,0,0,0,11,20,31,0,0,0,1,14,15,12,34,46
John Beecher,0091,0,0,0,0,0,0,5,15,20,22,10,32,27,25,52
Samuel Honzek,0092,0,0,0,0,0,0,0,0,0,0,9,9,0,9,9
Zayne Parekh,0094,0,0,0,0,0,0,0,0,0,3,32,35,3,32,35
Sebastian Aho,0099,30,25,55,25,37,62,23,62,85,40,34,74,118,158,276
Jaccob Slavin,0100,1,22,23,6,33,39,7,30,37,7,31,38,21,116,137
Seth Jarvis,0101,9,9,18,24,25,49,22,33,55,36,53,89,91,120,211
Nikolaj Ehlers,0102,25,30,55,25,44,69,22,40,62,35,34,69,107,148,255
Shayne Gostisbehere,0103,0,8,8,7,30,37,11,34,45,6,19,25,24,91,115
K'Andre Miller,0104,0,5,5,10,25,35,6,24,30,10,46,56,26,100,126
Andrei Svechnikov,0105,23,28,51,30,37,67,25,42,67,28,40,68,106,147,253
Jackson Blake,0106,0,0,0,0,0,0,0,0,0,12,16,28,12,16,28
Logan Stankoven,0107,0,0,0,0,0,0,23,28,51,18,18,36,41,46,87
Sean Walker,0108,0,8,8,5,16,21,7,18,25,7,39,46,19,81,100
Taylor Hall,0110,24,23,47,33,36,69,21,24,45,18,24,42,96,107,203
Jordan Staal,0111,8,15,23,20,29,49,17,28,45,27,27,54,72,99,171
Jalen Chatfield,0112,0,0,0,4,5,9,2,10,12,6,9,15,12,24,36
Jordan Martinook,0113,0,0,0,5,11,16,12,24,36,25,15,40,42,50,92
William Carrier,0114,0,0,0,12,15,27,10,14,24,12,24,36,34,53,87
Eric Robinson,0115,8,9,17,14,15,29,8,13,21,13,24,37,43,61,104
Jesperi Kotkaniemi,0116,19,19,38,17,30,47,8,26,34,22,12,34,66,87,153
Mark Jankowski,0117,6,7,13,16,21,37,6,19,25,2,17,19,30,64,94
Nicolas Deslauriers,0118,0,0,0,12,18,30,0,0,0,7,12,19,19,30,49
Mike Reilly,0119,4,10,14,11,27,38,5,10,15,0,0,0,20,47,67
Connor Bedard,0121,0,0,0,15,24,39,32,44,76,24,31,55,71,99,170
Alex Vlasic,0122,0,0,0,0,0,0,4,11,15,6,33,39,10,44,54
Frank Nazar,0123,0,0,0,0,0,0,18,16,34,7,23,30,25,39,64
Tyler Bertuzzi,0124,20,23,43,17,33,50,26,55,81,19,31,50,82,142,224
Teuvo Teravainen,0125,26,26,52,17,52,69,27,35,62,25,19,44,95,132,227
Andre Burakovsky,0126,19,17,36,20,35,55,25,24,49,2,26,28,66,102,168
Ryan Donato,0127,11,8,19,13,19,32,15,27,42,24,30,54,63,84,147
Matt Grzelcyk,0128,2,12,14,15,32,47,6,16,22,10,18,28,33,78,111
Ilya Mikheyev,0129,4,12,16,9,27,36,6,25,31,0,38,38,19,102,121
Artyom Levshunov,0130,0,0,0,0,0,0,0,0,0,4,8,12,4,8,12
Andrew Mangiapane,0131,18,15,33,29,29,58,18,26,44,16,29,45,81,99,180
Sam Lafferty,0136,0,0,0,8,24,32,12,23,35,15,8,23,35,55,90
Oliver Moore,0138,0,0,0,0,0,0,0,0,0,5,14,19,5,14,19
Kevin Korchinski,0140,0,0,0,0,0,0,3,20,23,7,11,18,10,31,41
Dominic Toninato,0144,0,0,0,9,6,15,0,0,0,0,0,0,9,6,15
Ryan Ellis,0145,6,13,19,6,29,35,0,0,0,0,0,0,12,42,54
Shea Weber,0146,2,20,22,0,0,0,0,0,0,0,0,0,2,20,22
Nathan MacKinnon,0147,24,27,51,53,39,92,41,42,83,59,51,110,177,159,336
Cale Makar,0148,1,18,19,11,63,74,8,60,68,25,34,59,45,175,220
Martin Necas,0149,17,21,38,14,39,53,22,48,70,45,49,94,98,157,255
Nazem Kadri,0150,25,28,53,23,46,69,24,41,65,18,24,42,90,139,229
Devon Toews,0151,2,10,12,12,37,49,7,40,47,13,25,38,34,112,146
Brock Nelson,0152,13,16,29,15,38,53,19,42,61,26,25,51,73,121,194
Josh Manson,0153,2,20,22,12,16,28,5,7,12,11,19,30,30,62,92
Artturi Lehkonen,0154,0,0,0,13,31,44,13,30,43,4,42,46,30,103,133
Valeri Nichushkin,0155,15,11,26,26,41,67,18,29,47,29,28,57,88,109,197
Brent Burns,0156,2,22,24,9,25,34,10,47,57,10,22,32,31,116,147
Gabriel Landeskog,0157,19,23,42,16,69,85,26,37,63,20,29,49,81,158,239
Sam Malinski,0158,0,0,0,0,0,0,7,14,21,0,11,11,7,25,32
Nick Blankenburg,0159,0,0,0,2,9,11,0,0,0,5,8,13,7,17,24
Brett Kulak,0160,3,22,25,3,15,18,2,18,20,5,21,26,13,76,89
Ross Colton,0161,0,0,0,22,30,52,22,30,52,18,30,48,62,90,152
Nicolas Roy,0162,6,4,10,15,20,35,20,23,43,26,31,57,67,78,145
Parker Kelly,0163,0,0,0,6,8,14,11,12,23,6,15,21,23,35,58
Logan O'Connor,0164,10,6,16,19,27,46,15,18,33,9,18,27,53,69,122
Jack Drury,0165,0,0,0,8,6,14,12,30,42,11,20,31,31,56,87
Joel Kiviranta,0166,0,0,0,12,13,25,0,0,0,7,19,26,19,32,51
Zach Werenski,0168,5,21,26,13,28,41,15,28,43,9,42,51,42,119,161
Kirill Marchenko,0169,0,0,0,0,0,0,20,22,42,37,35,72,57,57,114
Damon Severson,0170,0,12,12,5,27,32,7,27,34,9,11,20,21,77,98
Dmitri Voronkov,0171,0,0,0,0,0,0,16,22,38,15,29,44,31,51,82
Conor Garland,0172,13,19,32,21,42,63,18,35,53,22,32,54,74,128,202
Charlie Coyle,0173,12,20,32,24,23,47,19,32,51,20,22,42,75,97,172
Ivan Provorov,0174,3,23,26,4,23,27,5,24,29,10,43,53,22,113,135
Adam Fantilli,0175,0,0,0,0,0,0,16,32,48,23,28,51,39,60,99
Mason Marchment,0176,0,0,0,21,22,43,27,44,71,37,40,77,85,106,191
Sean Monahan,0177,16,13,29,15,28,43,21,44,65,21,33,54,73,118,191
Denton Mateychuk,0178,0,0,0,0,0,0,0,0,0,2,8,10,2,8,10
Kent Johnson,0179,0,0,0,8,29,37,15,29,44,20,17,37,43,75,118
Mathieu Olivier,0180,0,0,0,11,7,18,0,0,0,14,28,42,25,35,60
Boone Jenner,0181,8,13,21,16,28,44,15,32,47,16,15,31,55,88,143
Cole Sillinger,0182,4,4,8,19,29,48,10,14,24,16,20,36,49,67,116
Dante Fabbro,0183,2,15,17,5,32,37,3,22,25,6,17,23,16,86,102
Danton Heinen,0184,8,15,23,22,29,51,15,17,32,17,26,43,62,87,149
Miles Wood,0185,11,10,21,12,31,43,15,15,30,11,32,43,49,88,137
Isac Lundeström,0186,7,8,15,17,27,44,9,20,29,20,25,45,53,80,133
Jake Christiansen,0187,0,0,0,0,0,0,0,0,0,2,8,10,2,8,10
Yegor Zamula,0188,0,0,0,3,10,13,6,17,23,6,12,18,15,39,54
Erik Gudbranson,0189,0,0,0,5,10,15,4,9,13,3,13,16,12,32,44
Brendan Smith,0190,0,0,0,4,6,10,0,0,0,0,0,0,4,6,10
Mikko Rantanen,0191,26,13,39,36,41,77,60,50,110,64,27,91,186,131,317
Miro Heiskanen,0192,2,18,20,4,29,33,7,45,52,8,41,49,21,133,154
Jason Robertson,0193,18,21,39,35,38,73,53,38,91,33,36,69,139,133,272
Wyatt Johnston,0194,0,0,0,8,12,20,16,37,53,29,25,54,53,74,127
Roope Hintz,0195,26,24,50,29,36,65,23,25,48,34,49,83,112,134,246
Thomas Harley,0196,0,8,8,2,14,16,14,21,35,10,26,36,26,69,95
Matt Duchene,0197,16,17,33,28,54,82,34,44,78,34,37,71,112,152,264
Esa Lindell,0198,4,13,17,7,39,46,10,16,26,6,27,33,27,95,122
Tyler Seguin,0199,26,28,54,26,33,59,19,43,62,22,32,54,93,136,229
Jamie Benn,0200,0,0,0,18,34,52,22,23,45,30,35,65,70,92,162
Tyler Myers,0201,1,9,10,6,16,22,5,18,23,6,24,30,18,67,85
Ilya Lyubushkin,0202,0,0,0,5,9,14,4,12,16,0,16,16,9,37,46
Michael Bunting,0203,2,5,7,17,27,44,17,27,44,17,33,50,53,92,145
Sam Steel,0204,7,9,16,15,42,57,14,16,30,14,17,31,50,84,134
Mavrik Bourque,0205,0,0,0,0,0,0,10,13,23,10,6,16,20,19,39
Radek Faksa,0206,6,16,22,15,36,51,9,21,30,14,34,48,44,107,151
Colin Blackwell,0207,4,4,8,20,26,46,13,10,23,6,13,19,43,53,96
Nils Lundkvist,0208,2,5,7,5,19,24,4,16,20,0,5,5,11,45,56
Oskar Bäck,0211,0,0,0,0,0,0,0,0,0,5,28,33,5,28,33
Nathan Bastian,0212,0,0,0,11,13,24,15,14,29,12,18,30,38,45,83
Adam Erne,0214,9,14,23,13,17,30,0,0,0,0,0,0,22,31,53
Dylan Larkin,0217,22,31,53,23,53,76,22,54,76,32,38,70,99,176,275
Lucas Raymond,0218,19,24,43,26,34,60,29,39,68,33,28,61,107,125,232
Moritz Seider,0219,0,13,13,13,29,42,6,25,31,14,26,40,33,93,126
Alex DeBrincat,0220,23,16,39,39,50,89,30,25,55,26,36,62,118,127,245
Patrick Kane,0221,32,22,54,49,37,86,33,54,87,21,33,54,135,146,281
Justin Faulk,0222,4,16,20,7,27,34,7,25,32,8,48,56,26,116,142
Simon Edvinsson,0223,0,0,0,0,17,17,4,16,20,7,9,16,11,42,53
Andrew Copp,0224,13,14,27,21,34,55,10,23,33,14,21,35,58,92,150
Axel Sandin-Pellikka,0225,0,0,0,0,0,0,0,0,0,0,7,7,0,7,7
David Perron,0226,13,22,35,19,34,53,12,32,44,19,20,39,63,108,171
James van Riemsdyk,0227,20,20,40,30,22,52,23,25,48,18,29,47,91,96,187
J.T. Compher,0228,7,10,17,11,36,47,24,28,52,6,24,30,48,98,146
Marco Kasper,0229,0,0,0,0,0,0,0,0,0,7,16,23,7,16,23
Ben Chiarot,0230,3,10,13,6,10,16,6,14,20,3,18,21,18,52,70
Mason Appleton,0232,4,9,13,11,22,33,8,23,31,18,29,47,41,83,124
Michael Rasmussen,0233,8,7,15,20,16,36,23,26,49,17,27,44,68,76,144
Jacob Bernard-Docker,0234,0,11,11,7,20,27,3,9,12,4,13,17,14,53,67
Travis Hamonic,0236,0,0,0,4,11,15,6,11,17,0,0,0,10,22,32
Connor McDavid,0239,43,32,75,41,63,104,34,56,90,55,35,90,173,186,359
Leon Draisaitl,0240,28,26,54,39,38,77,31,44,75,43,26,69,141,134,275
Evan Bouchard,0241,0,19,19,8,16,24,17,31,48,10,41,51,35,107,142
Zach Hyman,0242,23,20,43,29,32,61,25,32,57,21,29,50,98,113,211
Ryan Nugent-Hopkins,0243,19,19,38,23,32,55,23,47,70,23,37,60,88,135,223
Mattias Ekholm,0244,1,15,16,6,23,29,9,24,33,6,35,41,22,97,119
Jake Walman,0245,0,0,0,4,12,16,11,8,19,10,30,40,25,50,75
Darnell Nurse,0246,4,15,19,10,24,34,9,31,40,9,23,32,32,93,125
Jack Roslovic,0247,21,14,35,25,34,59,14,34,48,21,14,35,81,96,177
Connor Murphy,0248,0,9,9,8,16,24,8,13,21,6,23,29,22,61,83
Vasily Podkolzin,0249,0,0,0,14,19,33,9,10,19,8,7,15,31,36,67
Jason Dickinson,0250,13,10,23,11,26,37,19,20,39,16,15,31,59,71,130
Kasperi Kapanen,0251,25,5,30,10,34,44,19,24,43,24,15,39,78,78,156
Mattias Janmark,0254,8,13,21,20,26,46,18,11,29,10,11,21,56,61,117
Adam Henrique,0255,9,7,16,16,30,46,16,34,50,14,28,42,55,99,154
Trent Frederic,0256,2,6,8,15,21,36,18,40,58,13,23,36,48,90,138
Curtis Lazar,0257,0,0,0,17,18,35,10,21,31,8,19,27,35,58,93
Ty Emberson,0258,0,0,0,0,0,0,0,0,0,0,11,11,0,11,11
Aleksander Barkov,0261,29,22,51,28,39,67,17,54,71,48,32,80,122,147,269
Matthew Tkachuk,0262,27,19,46,23,45,68,22,43,65,41,38,79,113,145,258
Sam Reinhart,0263,21,15,36,20,38,58,13,60,73,54,37,91,108,150,258
Brad Marchand,0264,20,24,44,41,41,82,38,41,79,30,36,66,129,142,271
Gustav Forsling,0265,5,14,19,6,35,41,16,25,41,8,31,39,35,105,140
Seth Jones,0266,5,31,36,12,16,28,13,27,40,9,50,59,39,124,163
Aaron Ekblad,0267,3,23,26,14,30,44,18,30,48,10,29,39,45,112,157
