Player,AVHL ID,22-23 G,22-23 A,22-23 P,23-24 G,23-24 A,23-24 P,24-25 G,24-25 A,24-25 P,25-26 G,25-26 A,25-26 P,Total G,Total A,Total PTS
Lassi Thomson,0466,0,0,0,5,14,19,0,0,0,0,0,0,5,14,19
Travis Konecny,0468,14,17,31,14,42,56,16,50,66,32,39,71,76,148,224
Travis Sanheim,0469,3,23,26,6,22,28,6,32,38,6,27,33,21,104,125
Trevor Zegras,0470,20,20,40,29,39,68,27,23,50,16,34,50,92,116,208
Matvei Michkov,0471,0,0,0,0,0,0,0,0,0,28,21,49,28,21,49
Sean Couturier,0472,27,21,48,25,52,77,21,27,48,16,27,43,89,127,216
Owen Tippett,0473,10,6,16,22,18,40,18,28,46,21,48,69,71,100,171
Cam York,0474,1,5,6,7,21,28,9,27,36,4,34,38,21,87,108
Christian Dvorak,0475,15,21,36,17,22,39,19,23,42,12,7,19,63,73,136
Noah Cates,0476,0,0,0,26,20,46,11,10,21,17,8,25,54,38,92
Jamie Drysdale,0477,0,10,10,8,28,36,8,30,38,8,18,26,24,86,110
Tyson Foerster,0478,4,1,5,12,5,17,13,24,37,14,28,42,43,58,101
Nick Seeler,0479,0,0,0,4,7,11,0,0,0,6,26,32,10,33,43
Emil Andrae,0480,0,0,0,0,0,0,0,0,0,3,12,15,3,12,15
Rasmus Ristolainen,0481,5,20,25,5,19,24,5,16,21,3,8,11,18,63,81
Garnet Hathaway,0482,8,10,18,22,26,48,13,22,35,17,26,43,60,84,144
Luke Glendening,0483,0,0,0,4,17,21,2,7,9,10,6,16,16,30,46
Carl Grundström,0487,8,6,14,14,17,31,10,8,18,5,10,15,37,41,78
Noah Juulsen,0490,1,5,6,7,18,25,0,0,0,0,0,0,8,23,31
Sidney Crosby,0492,25,29,54,21,42,63,37,49,86,39,36,75,122,156,278
Evgeni Malkin,0493,19,23,42,31,55,86,25,48,73,33,43,76,108,169,277
Erik Karlsson,0494,7,16,23,14,42,56,9,50,59,13,48,61,43,156,199
Kris Letang,0495,3,24,27,11,57,68,18,34,52,8,32,40,40,147,187
Samuel Girard,0496,0,23,23,7,53,60,4,34,38,10,28,38,21,138,159
Bryan Rust,0497,24,16,40,21,44,65,19,34,53,23,31,54,87,125,212
Rickard Rakell,0498,25,22,47,24,41,65,17,37,54,27,36,63,93,136,229
Anthony Mantha,0499,20,20,40,17,30,47,19,19,38,18,20,38,74,89,163
Justin Brazeau,0500,0,0,0,0,0,0,0,0,0,15,20,35,15,20,35
Thomas Novak,0501,0,0,0,0,0,0,15,30,45,8,26,34,23,56,79
Yegor Chinakhov,0502,0,0,0,22,20,42,18,30,48,17,21,38,57,71,128
Connor Clifton,0505,0,0,0,6,12,18,3,11,14,7,18,25,16,41,57
Kevin Hayes,0506,16,14,30,24,41,65,11,31,42,20,24,44,71,110,181
Noel Acciari,0507,0,0,0,10,18,28,14,14,28,0,9,9,24,41,65
Blake Lizotte,0508,0,0,0,18,26,44,17,11,28,10,14,24,45,51,96
Connor Dewar,0510,0,0,0,8,21,29,4,13,17,9,10,19,21,44,65
Elmer Söderblom,0511,0,0,0,9,14,23,9,16,25,7,12,19,25,42,67
Caleb Jones,0513,0,8,8,9,18,27,3,10,13,0,0,0,12,36,48
